,price,year,manufacturer,make,condition,cylinders,fuel,odometer,title_status,transmission,vin,drive,size,type,paint_color,lat,long,county_fips,state_fips,weather
122984,5850,2008.0,toyota,rav4,,,gas,86.0,salvage,automatic,,,,,,34.3054,-118.4322,6037.0,6.0,59.0
122985,4900,2006.0,audi,a4,excellent,4 cylinders,gas,105000.0,clean,automatic,,,,,blue,33.4903,-117.1824,6065.0,6.0,59.0
122986,2995,2012.0,chevrolet,impala,,,gas,,clean,automatic,,,,,,39.6956,-105.0341,8031.0,8.0,45.0
122988,7995,2008.0,bmw,328i,,,other,97765.0,clean,automatic,WBAVC53548FZ82008,,compact,sedan,blue,34.232563,-118.252673,6037.0,6.0,59.0
122989,1400,1994.0,,camero z28,good,8 cylinders,gas,,clean,automatic,,rwd,,,green,33.931677,-118.353808,6037.0,6.0,59.0
122990,10000,2005.0,lexus,ls 430,,,gas,,clean,automatic,,,,,,37.13284,-95.78558000000001,20125.0,20.0,51.0
122993,10000,2005.0,mercedes,c55,excellent,,gas,116000.0,clean,automatic,,,,,black,34.1556,-118.2322,6037.0,6.0,59.0
122994,6100,2002.0,ford,ranger,new,6 cylinders,gas,,clean,automatic,,,,,,34.0673,-117.9366,6037.0,6.0,59.0
122995,5925,2006.0,honda,civic lx,,other,gas,100888.0,clean,automatic,2HGFG12606H540760,fwd,,,silver,33.890325,-118.14228899999999,6037.0,6.0,59.0
122996,69000,2007.0,,Freightliner Columbia 120,,,diesel,,clean,manual,,,,,,33.7706,-118.182,6037.0,6.0,59.0
122997,950,1999.0,honda,civic,,,gas,,salvage,automatic,,,,,,34.7131,-117.8783,6037.0,6.0,59.0
122998,7995,2011.0,honda,oddysey,,,gas,,clean,automatic,,,,,,39.6956,-105.0341,8031.0,8.0,45.0
123000,15800,2015.0,hyundai,tucson se,excellent,4 cylinders,gas,41300.0,clean,automatic,,fwd,mid-size,SUV,brown,34.3775,-118.6131,6037.0,6.0,59.0
123001,19900,1956.0,ford,thunderbird,,,gas,1318.0,clean,automatic,P6FH247025,,,,,33.6372,-96.6184,48181.0,48.0,67.0
123002,65000,1966.0,chevrolet,corvette,excellent,8 cylinders,gas,56961.0,clean,manual,,rwd,,,black,19.745196,-155.90131100000002,15001.0,15.0,79.0
123003,23500,2017.0,lexus,is200t,excellent,4 cylinders,gas,,salvage,automatic,,rwd,,,black,34.066,-118.47399999999999,6037.0,6.0,59.0
123004,2950,2004.0,volvo,s60,excellent,,gas,99758.0,clean,automatic,,fwd,mid-size,sedan,red,34.210264,-118.228007,6037.0,6.0,59.0
123005,29500,1982.0,volkswagen,vanagon l,excellent,4 cylinders,gas,84000.0,clean,manual,WV2ZAO259CHO73419,rwd,,van,yellow,30.4564,-87.2104,12033.0,12.0,65.0
123006,9000,1984.0,,Monte Carlo SS,,,gas,94000.0,clean,automatic,,,,,,34.1069,-117.2975,6071.0,6.0,59.0
123007,6900,2012.0,hyundai,elantra limeted,,,gas,,salvage,automatic,,,,,,33.6598,-117.3485,6065.0,6.0,59.0
123008,5500,1984.0,chevy,corvette,,,gas,,clean,automatic,,,,,,36.175,-115.1372,32003.0,32.0,46.0
123009,2650,2003.0,nissan,sentra 2.5 se-r,good,4 cylinders,gas,135.0,salvage,automatic,,fwd,,sedan,yellow,33.9464,-118.0838,6037.0,6.0,59.0
123010,110000,2015.0,,BENZ G63 AMG DESIGNO EXECUTIVE,like new,8 cylinders,gas,19000.0,clean,automatic,,4wd,full-size,wagon,custom,32.893705,-117.13138500000001,6073.0,6.0,59.0
123011,25,2016.0,,Silverado,,,gas,,clean,automatic,,rwd,full-size,truck,black,37.13284,-95.78558000000001,20125.0,20.0,51.0
123012,16000,2006.0,toyota,tacoma prerunner v6,,other,gas,158000.0,clean,automatic,5TEJU62N76Z306948,rwd,,,silver,33.909177,-118.344183,6037.0,6.0,59.0
123015,24900,1971.0,,Plymouth Road Runner,,,gas,69604.0,clean,automatic,RM23N1E132662,,,,,33.6372,-96.6184,48181.0,48.0,67.0
134990,3600,2000.0,chevrolet,,,,gas,160.0,clean,automatic,,,,,,34.2556,-118.4208,6037.0,6.0,59.0
137582,2500,1997.0,ford,mustang,,,gas,,clean,manual,,,,,,34.4133,-118.0917,6037.0,6.0,59.0
137592,4500,1996.0,ford,bronco xlt,,,gas,170000.0,clean,automatic,,,,,,34.199981,-118.40136899999999,6037.0,6.0,59.0
137593,3200,2002.0,,02 540i,good,,gas,133000.0,clean,automatic,0,,,,,33.6801,-117.9085,6059.0,6.0,59.0
137607,4995,2005.0,volvo,s60,,,gas,83930.0,clean,automatic,,,,,,33.9291,-117.8845,6059.0,6.0,59.0
137608,5800,2012.0,dodge,grand caravan,excellent,6 cylinders,gas,,salvage,automatic,,fwd,full-size,mini-van,black,33.9245,-118.2716,6037.0,6.0,59.0
137609,7450,2001.0,ford,ranger,,,gas,125270.0,clean,automatic,,,,,,33.9291,-117.8845,6059.0,6.0,59.0
137862,5200,2008.0,ford,ranger xlt,,,gas,158000.0,clean,automatic,,,,,,34.2366,-118.4758,6037.0,6.0,59.0
137863,3500,2005.0,hyundai,tucson,excellent,6 cylinders,gas,129700.0,clean,automatic,,fwd,mid-size,SUV,grey,34.024347999999996,-117.91793700000001,6037.0,6.0,59.0
137912,3200,1994.0,honda,prelude,,,gas,,clean,automatic,,,,,,34.0451,-118.1859,6037.0,6.0,59.0
143160,800,1998.0,ford,conture,,,gas,,clean,automatic,,,,,,34.2007,-118.5391,6037.0,6.0,59.0
143592,8200,2012.0,audi,a3,,,gas,,clean,automatic,,,,,,33.993111,-117.88158500000002,6037.0,6.0,59.0
143593,3500,2006.0,audi,a4,good,4 cylinders,gas,88000.0,clean,automatic,,,,,silver,33.9938,-118.4635,6037.0,6.0,59.0
143594,24600,2018.0,ford,mustang,like new,4 cylinders,gas,25436.0,clean,manual,,fwd,mid-size,coupe,grey,33.9056,-118.0818,6037.0,6.0,59.0
143597,2550,1900.0,,sand sprite,,,gas,,clean,manual,,,,,,33.8439,-118.008,6059.0,6.0,59.0
143598,13950,2006.0,lexus,lx,,,gas,190891.0,clean,automatic,JTJHT00W964012578,,,wagon,white,33.773559999999996,-117.98423999999999,6059.0,6.0,59.0
143599,9500,2005.0,chevrolet,2500 hd,good,8 cylinders,gas,212.0,clean,automatic,,,,truck,white,34.0133,-118.113,6037.0,6.0,59.0
143600,9500,2014.0,ford,focus 5dr hb se,,4 cylinders,,60821.0,clean,manual,1FADP3K21EL324129,fwd,,sedan,grey,33.789513,-118.150006,6037.0,6.0,59.0
143644,1,2017.0,bmw,i8,,,gas,,clean,automatic,,,,,,34.0434,-118.2716,6037.0,6.0,59.0
143645,1,1968.0,dodge,d200,,8 cylinders,gas,,clean,automatic,,rwd,,truck,,34.1802,-118.4324,6037.0,6.0,59.0
143646,29895,2007.0,gmc,sierra 2500hd,,,diesel,95363.0,clean,automatic,1GTHC23607F508658,,,,,34.070311,-117.446303,6071.0,6.0,59.0
143647,699,2018.0,,maserati ghibli,,6 cylinders,gas,100.0,clean,automatic,,,,,,33.8544,-117.7858,6059.0,6.0,59.0
143902,12475,2017.0,honda,accord lx,,,gas,,salvage,automatic,,,,,,33.8045,-118.1876,6037.0,6.0,59.0
