,url,city,price,year,manufacturer,make,condition,cylinders,fuel,odometer,title_status,transmission,vin,drive,size,type,paint_color,image_url,lat,long,county_fips,county_name,state_fips,state_code,state_name,weather
681351,https://losangeles.craigslist.org/wst/cto/d/mazda-rx8-rotary-rx7/6743990942.html,losangeles,500,2003.0,mazda,rx8,,,gas,,clean,automatic,,,,,,https://images.craigslist.org/00y0y_e7FXtGWw6dy_600x450.jpg,33.763787,-118.159218,6037.0,Los Angeles,6.0,CA,California,59.0
681352,https://losangeles.craigslist.org/lac/cto/d/espacio-para-auto-body/6742114282.html,losangeles,1500,2019.0,chevrolet,,like new,4 cylinders,gas,200.0,salvage,automatic,,fwd,compact,sedan,red,https://images.craigslist.org/00Z0Z_iXXObL0IqYD_600x450.jpg,34.0245,-118.1561,6037.0,Los Angeles,6.0,CA,California,59.0
681353,https://losangeles.craigslist.org/lgb/ctd/d/2015-honda-civic-sedan-call/6750095510.html,losangeles,12499,2015.0,honda,civic sedan 4dr man lx,,4 cylinders,,42951.0,clean,manual,19XFB2E5XFE041398,fwd,,sedan,white,https://images.craigslist.org/00b0b_isEjAu1cyY8_600x450.jpg,33.789513,-118.150006,6037.0,Los Angeles,6.0,CA,California,59.0
681354,https://losangeles.craigslist.org/lgb/cto/d/2015-porsche-911-gt3-coupe-2d/6750080729.html,losangeles,144700,2015.0,,911 porsche,like new,6 cylinders,gas,10182.0,clean,manual,,fwd,mid-size,coupe,red,https://images.craigslist.org/00A0A_kdW4wjh5V8P_600x450.jpg,33.9056,-118.0818,6037.0,Los Angeles,6.0,CA,California,59.0
681355,https://losangeles.craigslist.org/wst/cto/d/mazda-rx8-rotary-rx7/6744405048.html,losangeles,500,2003.0,mazda,rx8,,,gas,,clean,automatic,,,,,,https://images.craigslist.org/00y0y_e7FXtGWw6dy_600x450.jpg,33.763787,-118.159218,6037.0,Los Angeles,6.0,CA,California,59.0
681356,https://losangeles.craigslist.org/lac/cto/d/2006-lexus-rx-330/6727845287.html,losangeles,5300,2006.0,lexus,rx330,good,6 cylinders,gas,166000.0,clean,automatic,,4wd,full-size,SUV,,https://images.craigslist.org/00f0f_eKcUW5zcPda_600x450.jpg,33.7042,-116.7259,6065.0,Riverside,6.0,CA,California,59.0
681357,https://losangeles.craigslist.org/lac/ctd/d/2017-nissan-sentra-we-can-get/6750095372.html,losangeles,13995,2017.0,nissan,sentra s,,other,gas,416.0,clean,manual,3N1AB7AP8HY283447,fwd,,,silver,https://images.craigslist.org/00K0K_iEZAvy8X3I9_600x450.jpg,34.036192,-118.14956799999999,6037.0,Los Angeles,6.0,CA,California,59.0
681358,https://losangeles.craigslist.org/sgv/cto/d/2004-honda-accord-lx/6750091922.html,losangeles,2999,2004.0,honda,accord,good,4 cylinders,gas,145000.0,clean,automatic,,,,,,https://images.craigslist.org/00O0O_diSJfkoR7iL_600x450.jpg,34.018414,-117.966544,6037.0,Los Angeles,6.0,CA,California,59.0
681359,https://losangeles.craigslist.org/wst/cto/d/fully-loaded-ford-thunderbird/6738525902.html,losangeles,1,2002.0,ford,thunderbird,excellent,8 cylinders,gas,44000.0,clean,automatic,,,,convertible,red,https://images.craigslist.org/00l0l_kVROaw8jWNL_600x450.jpg,34.1652,-118.2656,6037.0,Los Angeles,6.0,CA,California,59.0
681360,https://losangeles.craigslist.org/lac/cto/d/2009-mazda-5-minivan-in-good/6750070081.html,losangeles,1200,2009.0,mazda,5 minivan,good,4 cylinders,gas,173000.0,clean,automatic,jm1cr293190344364,fwd,compact,mini-van,grey,https://images.craigslist.org/00W0W_84P5hX1BFo1_600x450.jpg,33.613945,-117.864227,6059.0,Orange,6.0,CA,California,59.0
681361,https://losangeles.craigslist.org/sgv/cto/d/2003-dodge-ram-slt-crew-cab/6750091975.html,losangeles,1995,2003.0,ram,1500 quad cab,,,gas,,clean,automatic,,,,,,https://images.craigslist.org/00x0x_cwZqS7lP60X_600x450.jpg,34.0125,-117.6844,6071.0,San Bernardino,6.0,CA,California,59.0
681362,https://losangeles.craigslist.org/lac/cto/d/1995-lexus-sc400-low-miles/6750090989.html,losangeles,3000,1995.0,lexus,sc 400,good,8 cylinders,gas,,clean,automatic,,rwd,full-size,,white,https://images.craigslist.org/00g0g_2CEAFYcho0Y_600x450.jpg,34.082024,-118.27271499999999,6037.0,Los Angeles,6.0,CA,California,59.0
681363,https://losangeles.craigslist.org/sfv/cto/d/2004-chevrolet-blazer-ls-4wd/6750091087.html,losangeles,2900,2004.0,chevrolet,blazer,,6 cylinders,gas,140000.0,clean,automatic,,4wd,,,,https://images.craigslist.org/00909_34dA7I3K239_600x450.jpg,34.2092,-118.8739,6111.0,Ventura,6.0,CA,California,59.0
681364,https://losangeles.craigslist.org/wst/cto/d/2010-mazda-3-gt-25l/6750091541.html,losangeles,7500,2010.0,mazda,3,good,5 cylinders,gas,81760.0,clean,automatic,,fwd,compact,hatchback,black,https://images.craigslist.org/00e0e_i0kmV87Xkd7_600x450.jpg,34.029697,-118.469527,6037.0,Los Angeles,6.0,CA,California,59.0
681365,https://losangeles.craigslist.org/lgb/cto/d/2004-infinity-fx35/6745023548.html,losangeles,8975,2004.0,infiniti,fx 35,excellent,6 cylinders,gas,113109.0,clean,automatic,JNRASO8U74X107839,rwd,full-size,SUV,black,https://images.craigslist.org/00A0A_hlkI1YNOP1h_600x450.jpg,33.767317,-118.116798,6037.0,Los Angeles,6.0,CA,California,59.0
681366,https://losangeles.craigslist.org/lac/cto/d/red-ford-excellent-condition/6735670996.html,losangeles,11500,2002.0,ford,thunderbird,excellent,,gas,44.0,clean,automatic,,,,,red,https://images.craigslist.org/00l0l_kVROaw8jWNL_600x450.jpg,34.1379,-118.2599,6037.0,Los Angeles,6.0,CA,California,59.0
681367,https://losangeles.craigslist.org/wst/cto/d/1970-cadillac-el-dorado/6739656206.html,losangeles,4900,1970.0,cadillac,eldorado,,8 cylinders,gas,12000.0,clean,automatic,,fwd,full-size,,,https://images.craigslist.org/00606_4uKtIg9m7yu_600x450.jpg,33.7866,-118.2987,6037.0,Los Angeles,6.0,CA,California,59.0
